# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = linear_regression_907_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /Users/robin/stan-models/linear_regression-907/linear_regression-907.json
# init = 2 (Default)
# random
#   seed = 1728159211 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.431736
# Diagonal elements of inverse mass matrix:
# 30.1401, 0.0357554, 0.00900752
-183.548,0.963085,0.431736,3,7,0,185.206,-6.41727,-6.26877,19.2767
-181.895,1,0.431736,4,15,0,184.322,0.643422,-6.4883,27.4708
-181.474,0.849674,0.431736,2,3,0,183.483,3.43566,-6.44527,26.0501
-181.164,0.949988,0.431736,3,11,0,183.257,8.89631,-6.92299,19.8784
-180.592,1,0.431736,2,7,0,183.667,16.1946,-6.91324,23.8608
-179.899,0.965301,0.431736,2,3,0,181.003,9.94768,-6.89196,23.3849
-179.906,0.853117,0.431736,4,15,0,182.073,4.30646,-6.6674,19.9664
-179.704,0.98798,0.431736,3,7,0,180.559,3.17346,-6.64514,23.0825
-179.695,0.945877,0.431736,3,7,0,180.163,4.80355,-6.54643,22.5155
-180.412,0.872498,0.431736,3,15,0,181.742,1.45241,-6.44048,20.6478
-179.662,0.744005,0.431736,3,11,0,182.575,13.2358,-6.89309,21.7662
-179.344,0.996479,0.431736,3,7,0,179.868,9.04468,-6.78279,20.9608
-179.948,0.752324,0.431736,2,3,0,180.487,10.0405,-6.67343,21.7457
-179.826,0.981979,0.431736,2,7,0,181.181,8.38903,-6.74198,24.5111
-179.937,0.980245,0.431736,2,7,0,181.151,7.31645,-6.71811,19.4483
-180.294,0.812962,0.431736,3,15,0,182.752,14.6184,-6.99729,23.7289
-179.938,0.996993,0.431736,3,11,0,180.779,0.786554,-6.52097,21.0591
-180.474,0.954348,0.431736,2,3,0,180.691,-0.156085,-6.48037,20.1989
-181.822,0.748231,0.431736,3,11,0,182.512,17.9772,-6.87671,24.4031
-182.432,0.98338,0.431736,4,15,0,183.365,4.10625,-6.39654,26.4761
-184.06,0.854998,0.431736,2,3,0,184.708,-2.61223,-6.63875,28.067
-181.132,0.946633,0.431736,3,7,0,184.763,1.32761,-6.3701,21.0953
-181.504,0.9087,0.431736,4,15,0,184.265,9.54659,-6.95535,25.827
-183.418,0.989487,0.431736,3,7,0,184.067,19.4147,-7.27891,21.1169
-179.703,1,0.431736,3,7,0,183.28,12.1987,-6.91771,22.6614
-180.244,0.918985,0.431736,2,7,0,180.915,15.7906,-6.91341,22.366
-180.243,0.918254,0.431736,4,15,0,181.532,4.58317,-6.77631,22.2744
-180.608,0.965544,0.431736,3,7,0,181.547,2.67327,-6.51107,19.3938
-180.101,1,0.431736,3,11,0,180.831,13.4925,-6.89597,24.2141
-179.642,0.985565,0.431736,2,7,0,182.182,1.82976,-6.55053,21.8901
-180.126,0.875274,0.431736,3,11,0,181.02,15.2646,-6.99129,22.7699
-180.356,0.884575,0.431736,3,7,0,181.664,15.2235,-6.85986,21.9977
-179.255,0.965983,0.431736,2,7,0,181.299,8.56031,-6.75591,21.2891
-179.288,0.888066,0.431736,2,7,0,179.934,6.45487,-6.6525,22.2894
-179.427,0.976288,0.431736,2,7,0,180.031,6.37405,-6.70664,23.2639
-179.413,0.99791,0.431736,3,7,0,179.571,8.78825,-6.73692,23.2059
-179.861,0.901178,0.431736,3,7,0,180.284,11.8624,-6.75767,22.7572
-179.722,0.911306,0.431736,3,7,0,180.736,5.80048,-6.57103,21.2719
-179.988,0.785272,0.431736,2,7,0,182.029,3.54578,-6.71288,22.576
-182.356,0.982711,0.431736,3,7,0,183.071,10.5385,-6.72823,28.3956
-180.914,0.996474,0.431736,2,3,0,182.408,9.95903,-6.74542,26.4075
-181.243,0.934088,0.431736,3,7,0,181.814,12.2074,-6.71686,25.671
-180.984,0.972548,0.431736,3,7,0,181.762,4.77926,-6.75098,19.218
-182.361,0.944698,0.431736,2,3,0,182.62,6.0504,-6.52122,18.4299
-181.175,0.999509,0.431736,4,15,0,182.939,2.28077,-6.7007,19.8563
-181.147,0.98283,0.431736,4,15,0,184.088,12.4891,-6.94439,26.2844
-181.234,0.932173,0.431736,3,7,0,181.978,9.45253,-6.93139,25.7439
-179.42,0.996971,0.431736,2,7,0,182.191,11.4284,-6.82434,21.9873
-181.373,0.762959,0.431736,2,7,0,182.11,16.0118,-6.80843,21.9142
-180.614,0.810813,0.431736,2,3,0,183.7,12.1972,-7.01718,22.5693
-181.641,0.71044,0.431736,2,7,0,184.048,18.3962,-6.91199,21.6524
-180.235,0.997726,0.431736,3,15,0,182.138,2.24184,-6.44096,21.8829
-179.411,0.944205,0.431736,4,15,0,180.914,6.74091,-6.64833,20.9476
-179.595,0.905977,0.431736,2,7,0,183.169,8.28275,-6.67727,23.3977
-179.552,1,0.431736,2,3,0,179.616,8.22325,-6.68719,23.4404
-181.181,0.810913,0.431736,2,7,0,181.884,8.06193,-6.56184,25.2868
-179.514,0.917408,0.431736,4,15,0,183.62,6.63348,-6.76856,21.358
-180.983,0.834037,0.431736,2,7,0,181.626,6.97032,-6.88633,20.8742
-180.118,0.962833,0.431736,3,11,0,181.74,6.32556,-6.64913,25.0605
-179.624,0.972175,0.431736,3,7,0,180.544,7.90636,-6.82306,22.5922
-179.63,0.997692,0.431736,2,3,0,179.724,10.6739,-6.73248,22.2583
-179.689,0.998572,0.431736,3,15,0,179.775,7.67493,-6.63193,20.9993
-180.448,0.998586,0.431736,3,7,0,180.655,8.88671,-6.71225,25.637
-180.435,0.998905,0.431736,3,15,0,180.816,12.6265,-6.85325,19.4118
-182.307,0.945401,0.431736,3,15,0,183.436,5.82325,-6.7068,17.4567
-179.327,0.999588,0.431736,4,15,0,182.748,7.01454,-6.7475,21.3241
-179.631,0.998194,0.431736,3,7,0,179.721,5.48302,-6.60299,20.5021
-179.395,0.971478,0.431736,3,7,0,181.714,10.8759,-6.83474,21.4621
-179.774,0.915972,0.431736,3,7,0,180.373,7.34513,-6.73589,24.3616
-179.942,0.997304,0.431736,2,3,0,179.969,6.96302,-6.7287,24.7349
-179.479,0.998466,0.431736,3,7,0,180.114,5.24928,-6.61966,23.2064
-179.488,0.998832,0.431736,3,7,0,179.633,6.20745,-6.69552,23.506
-179.691,0.916868,0.431736,2,7,0,180.441,4.63069,-6.72331,21.7291
-181.654,0.882974,0.431736,4,15,0,183.131,8.58913,-6.9375,25.9452
-183.387,0.995982,0.431736,3,7,0,183.973,15.7116,-6.81399,28.6207
-181.878,0.996304,0.431736,3,11,0,186.202,4.36309,-6.63204,27.9489
-180.01,0.989156,0.431736,2,7,0,182.779,8.23922,-6.77805,24.8226
-179.578,0.761279,0.431736,3,7,0,181.894,2.70134,-6.55855,21.3198
-179.891,0.979914,0.431736,3,7,0,180.241,3.9244,-6.56527,20.1023
-179.926,0.997818,0.431736,3,15,0,180.38,5.36845,-6.61219,19.7448
-181.361,0.841567,0.431736,4,15,0,182.005,-0.531209,-6.58472,25.6365
-179.652,0.923745,0.431736,3,11,0,182.037,10.9743,-6.84434,20.4428
-180.871,0.933782,0.431736,2,3,0,181.024,13.0712,-6.9342,19.1378
-180.465,0.81015,0.431736,2,3,0,181.637,12.5698,-6.94363,19.7932
-182.103,0.902161,0.431736,3,15,0,183.582,-7.08116,-6.33992,23.5629
-182.218,0.809575,0.431736,3,15,0,184.973,6.41303,-6.93743,24.9808
-180.064,0.965122,0.431736,2,7,0,183.199,6.69392,-6.81848,23.4905
-181.034,0.993571,0.431736,4,15,0,182.111,15.1526,-7.07627,24.3912
-181.479,0.976497,0.431736,4,15,0,182.133,15.6912,-6.89243,26.2336
-180.75,0.965507,0.431736,3,15,0,182.057,6.39389,-6.64464,18.6214
-180.186,1,0.431736,3,7,0,181.186,7.95218,-6.69638,19.2036
-180.331,0.912934,0.431736,2,3,0,180.915,4.71837,-6.71182,19.5469
-179.943,0.992504,0.431736,4,15,0,180.794,12.1212,-6.83438,20.0973
-179.658,0.898221,0.431736,2,3,0,180.388,11.6169,-6.81728,20.6446
-180.327,0.774511,0.431736,2,7,0,181.411,5.91724,-6.82835,22.2367
-180.317,0.992591,0.431736,2,7,0,180.745,7.03975,-6.54554,22.5066
-179.45,1,0.431736,2,3,0,180.283,4.70975,-6.57996,22.1677
-179.521,0.993894,0.431736,3,7,0,179.606,2.96298,-6.61159,21.8547
-180.076,0.983786,0.431736,2,7,0,180.375,2.25498,-6.46674,23.2097
-179.628,0.982464,0.431736,3,7,0,180.403,5.42767,-6.59829,20.5732
-181.148,0.61189,0.431736,3,11,0,185.15,14.013,-6.84722,19.1571
-181.841,0.91927,0.431736,2,3,0,182.103,15.2948,-6.83638,19.3082
-180.864,1,0.431736,3,7,0,182.703,16.3381,-6.86845,23.4367
-179.623,0.904347,0.431736,3,15,0,181.822,9.4194,-6.684,22.1061
-180.195,0.926896,0.431736,3,7,0,180.552,5.45866,-6.75622,20.0279
-181.44,0.824004,0.431736,3,15,0,182.563,-3.25134,-6.52631,23.2709
-182.297,0.983856,0.431736,4,15,0,183.867,-3.05878,-6.52208,19.8573
-182.084,1,0.431736,3,15,0,183.59,2.82611,-6.42124,26.9907
-179.86,0.998055,0.431736,3,7,0,182.118,1.4888,-6.54676,20.8565
-180.934,0.974555,0.431736,3,15,0,183.215,14.5127,-6.93437,19.2717
-180.924,0.99604,0.431736,3,15,0,182.305,17.0827,-7.08825,21.2632
-181.492,0.57816,0.431736,3,7,0,184.195,7.96856,-6.53744,25.3992
-182.131,0.896044,0.431736,2,3,0,182.954,3.83248,-6.84804,24.9795
-181.934,1,0.431736,2,3,0,182.596,4.18506,-6.82999,25.6883
-181.036,1,0.431736,3,7,0,182.344,5.29494,-6.45586,23.6229
-179.664,0.994988,0.431736,3,11,0,181.306,8.53812,-6.80154,20.2622
-179.515,0.985199,0.431736,4,15,0,180.476,9.64163,-6.71692,22.7529
-179.454,0.999888,0.431736,2,3,0,179.559,7.09456,-6.76126,22.9861
-179.794,0.938795,0.431736,2,7,0,180.89,7.83692,-6.84262,21.8716
-179.822,0.900877,0.431736,3,7,0,182.006,10.0298,-6.72655,20.2929
-180.358,0.882238,0.431736,4,19,0,182.623,12.2665,-6.7494,24.0934
-179.34,0.983494,0.431736,2,7,0,180.621,8.82614,-6.73779,22.8572
-180.072,0.982987,0.431736,2,7,0,180.397,10.2116,-6.82267,24.8681
-179.594,0.991233,0.431736,3,7,0,180.339,7.59415,-6.77712,23.5501
-180.906,0.990965,0.431736,3,7,0,181.32,18.4594,-7.03082,23.581
-179.877,1,0.431736,2,7,0,181.202,13.0341,-6.95396,22.6746
-179.671,0.964919,0.431736,4,15,0,182.495,7.39583,-6.71262,24.1441
-180.084,0.993373,0.431736,4,15,0,180.682,14.5003,-6.98496,23.0183
-179.844,0.992249,0.431736,4,15,0,180.794,9.06676,-6.74188,19.7044
-180.546,0.913054,0.431736,4,15,0,180.755,3.79874,-6.66491,19.1985
-180.378,0.910874,0.431736,3,7,0,181.673,10.432,-6.86801,25.2488
-180.24,0.991843,0.431736,2,3,0,180.62,11.6948,-6.90623,24.7213
-179.761,0.990324,0.431736,4,15,0,180.648,7.96918,-6.6745,20.0748
-179.813,0.992453,0.431736,4,15,0,180.043,11.8856,-6.78626,23.4108
-179.622,0.998649,0.431736,3,11,0,180.344,3.83345,-6.6739,22.7149
-179.332,0.933937,0.431736,2,7,0,180.1,5.43139,-6.69574,21.752
-180.063,0.915874,0.431736,2,7,0,180.275,5.48703,-6.5238,21.9453
-179.737,0.97198,0.431736,2,7,0,181.286,1.70744,-6.53273,22.9049
-179.265,0.96525,0.431736,4,15,0,180.062,5.41164,-6.6485,21.8246
-179.272,0.998008,0.431736,3,7,0,179.329,6.18564,-6.68424,22.5226
-179.513,0.873906,0.431736,3,7,0,180.359,10.1227,-6.79612,23.4066
-180.08,0.823832,0.431736,2,3,0,181.155,12.1293,-6.85578,24.582
-181.458,0.938108,0.431736,2,3,0,181.644,12.9691,-7.00851,26.1767
-180.542,0.999693,0.431736,3,7,0,182.196,10.2376,-6.7045,25.2622
-180.077,0.91743,0.431736,2,7,0,181.828,9.68122,-6.89675,20.7021
-179.505,0.985261,0.431736,3,15,0,181.206,12.1091,-6.8697,22.0667
-179.881,0.992308,0.431736,3,7,0,179.936,12.869,-6.91074,23.643
-179.658,0.956451,0.431736,3,7,0,180.587,12.9014,-6.91076,21.7375
-180.444,0.859118,0.431736,3,15,0,181.228,16.7059,-7.01394,23.2756
-179.435,0.981786,0.431736,2,7,0,182.025,8.81636,-6.80572,22.93
-180.154,0.885704,0.431736,2,3,0,180.515,8.99083,-6.8816,23.9323
-180.464,0.994606,0.431736,3,15,0,181.58,4.44467,-6.50739,24.5987
-181.572,0.974055,0.431736,2,7,0,182.745,5.71374,-6.74367,27.3167
-180.181,0.996946,0.431736,3,7,0,182.021,0.177596,-6.52845,20.7919
-179.806,0.931729,0.431736,3,7,0,180.7,8.06816,-6.6188,22.1475
-179.908,0.777858,0.431736,2,7,0,181.855,4.56798,-6.72828,23.4217
-179.588,0.922665,0.431736,2,7,0,181.104,5.45448,-6.57976,22.7785
-180.454,0.985813,0.431736,4,15,0,181.274,15.8984,-7.04063,21.5765
-180.341,0.981931,0.431736,3,15,0,182.478,3.02556,-6.53226,19.5886
-180.172,0.828489,0.431736,2,3,0,180.977,1.75691,-6.62088,20.5817
-180.629,0.985768,0.431736,3,7,0,181.729,6.98394,-6.78671,19.0813
